source,target,weight
Bill Gates,Dean Kamen,1
Bill Gates,Elon Musk,1
Bill Gates,Eric Schmidt,1
Bill Gates,Evan Williams,1
Bill Gates,Hubert Burda,1
Bill Gates,Jean Pigozzi,1
Bill Gates,Jimmy Wales,1
Bill Gates,John Doerr,1
Bill Gates,Kary Mullis,1
Bill Gates,Larry Page,1
Bill Gates,Maja Hoffman,1
Bill Gates,Marissa Mayer,1
Bill Gates,Miuccia Prada,1
Bill Gates,Nathan Myhrvold,1
Bill Gates,Pierre Omidyar,1
Bill Gates,Ricardo Salinas Pilego,1
Bill Gates,Salar Kamangar,1
Bill Gates,Sean Parker,1
Bill Gates,Steve Case,1
Bill Gates,Vinod Khosla,1
Marshall Funk,Janet Kafka,2
Marshall Funk,Joel Dunn,1
Marshall Funk,Terry Kafka,2
Marshall Funk,Adj Kearsarge,2
Marshall Funk,Allen West,2
Marshall Funk,Bennet Greenwald,1
Marshall Funk,Bennett Schmidt,2
Marshall Funk,Dennis Prager,1
Marshall Funk,Forrest Miller,2
Marshall Funk,Gary Gross,2
Marshall Funk,Grant Seeger,2
Marshall Funk,House,1
Marshall Funk,John Zouzelka,2
Marshall Funk,Marcie Brown,2
Marshall Funk,Mark Epstein,2
Marshall Funk,Michael Horowitz,1
Marshall Funk,Michael Pis,2
Marshall Funk,Michael Stechel Buchholtz,1
Marshall Funk,Mike Cohen,2
Marshall Funk,Nate White,2
Marshall Funk,Neil Anderson,2
Marshall Funk,Philip Kafka,2
Marshall Funk,Rafael Bardaji,2
Marshall Funk,Taal Safdie,2
Marshall Funk,Uri Fouzailov,2
Marshall Funk,Val Sherman,2
Heather Gray,Darren Indyke,1
Heather Gray,Lesley Groff,2
Heather Gray,Barry J. Cohen,2
Heather Gray,Joe Avantario,2
Heather Gray,John Castrucci,2
Heather Gray,Larry Delson,2
Heather Gray,Leon,1
Heather Gray,Melanie Spinella,2
Heather Gray,Richard Joslin,2
Heather Gray,Thomas Turrin,2
Heather Gray,Tom,1
Bradley Edwards,Jack Goldberger,1
Bradley Edwards,Darren Indyke,1
Bradley Edwards,Alan Dershowitz,2
Bradley Edwards,Lanna Belohlavek,1
Bradley Edwards,Jay Lefkowitz,1
Bradley Edwards,Larry Visoski,1
Bradley Edwards,Kathy Ruemmler,3
Bradley Edwards,Jack Scarola,2
Bradley Edwards,Paul Cassell,2
Bradley Edwards,Virginia Roberts,2
Steven Gaydos,Tom,1
Steven Gaydos,Paul Krassner,1
Steven Gaydos,paul krassner,2
Steven Gaydos,Daniel Dawson,1
Steven Gaydos,George Krassner,1
Steven Gaydos,Kevin Bright,1
Steven Gaydos,Lee Quarnstrom,1
Steven Gaydos,Linda W. Grossman,1
Steven Gaydos,Michael Simmons,1
Uri Fouzailov,Janet Kafka,2
Uri Fouzailov,Joel Dunn,1
Uri Fouzailov,Terry Kafka,2
Uri Fouzailov,Adj Kearsarge,2
Uri Fouzailov,Allen West,2
Uri Fouzailov,Bennet Greenwald,1
Uri Fouzailov,Bennett Schmidt,2
Uri Fouzailov,Dennis Prager,1
Uri Fouzailov,Forrest Miller,2
Uri Fouzailov,Gary Gross,2
Uri Fouzailov,Grant Seeger,2
Uri Fouzailov,House,1
Uri Fouzailov,John Zouzelka,2
Uri Fouzailov,Marcie Brown,2
Uri Fouzailov,Mark Epstein,2
Uri Fouzailov,Michael Horowitz,1
Uri Fouzailov,Michael Pis,2
Uri Fouzailov,Michael Stechel Buchholtz,1
Uri Fouzailov,Mike Cohen,2
Uri Fouzailov,Nate White,2
Uri Fouzailov,Neil Anderson,2
Uri Fouzailov,Philip Kafka,2
Uri Fouzailov,Rafael Bardaji,2
Uri Fouzailov,Taal Safdie,2
Uri Fouzailov,Val Sherman,2
Darren Indyke,Robert D. Critton Jr.,2
Darren Indyke,Jack Goldberger,8
Darren Indyke,Lesley Groff,4
Darren Indyke,Peter Thiel,1
Darren Indyke,Rich Kahn,4
Darren Indyke,Tonja Haddad Coleman,13
Darren Indyke,Google Alerts,3
Darren Indyke,Brad Edwards,3
Darren Indyke,Kathy Ruemmler,10
Darren Indyke,Steven Hoffenberg,11
Darren Indyke,Michael Miller,3
Darren Indyke,Larry Visoski,3
Darren Indyke,Barry J. Cohen,1
Darren Indyke,Joe Avantario,1
Darren Indyke,John Castrucci,1
Darren Indyke,Larry Delson,1
Darren Indyke,Melanie Spinella,1
Darren Indyke,Richard Joslin,1
Darren Indyke,Thomas Turrin,1
Darren Indyke,Alan Dershowitz,2
Darren Indyke,Ken Starr,2
Darren Indyke,J,3
Darren Indyke,Jack Scarola,1
Darren Indyke,Kenneth Starr,1
Darren Indyke,Paul Cassell,1
Darren Indyke,Jay Lefkowitz,1
Darren Indyke,Lanna Belohlavek,1
Dennis Prager,Janet Kafka,1
Dennis Prager,Joel Dunn,1
Dennis Prager,Terry Kafka,1
Dennis Prager,Adj Kearsarge,1
Dennis Prager,Allen West,1
Dennis Prager,Bennet Greenwald,1
Dennis Prager,Bennett Schmidt,1
Dennis Prager,Forrest Miller,1
Dennis Prager,Gary Gross,1
Dennis Prager,Grant Seeger,1
Dennis Prager,House,1
Dennis Prager,John Zouzelka,1
Dennis Prager,Marcie Brown,1
Dennis Prager,Mark Epstein,1
Dennis Prager,Michael Horowitz,1
Dennis Prager,Michael Pis,1
Dennis Prager,Michael Stechel Buchholtz,1
Dennis Prager,Mike Cohen,1
Dennis Prager,Nate White,1
Dennis Prager,Neil Anderson,1
Dennis Prager,Philip Kafka,1
Dennis Prager,Rafael Bardaji,1
Dennis Prager,Taal Safdie,1
Dennis Prager,Val Sherman,1
Nate White,Janet Kafka,2
Nate White,Joel Dunn,1
Nate White,Terry Kafka,2
Nate White,Adj Kearsarge,2
Nate White,Allen West,2
Nate White,Bennet Greenwald,1
Nate White,Bennett Schmidt,2
Nate White,Forrest Miller,2
Nate White,Gary Gross,2
Nate White,Grant Seeger,2
Nate White,House,1
Nate White,John Zouzelka,2
Nate White,Marcie Brown,2
Nate White,Mark Epstein,2
Nate White,Michael Horowitz,1
Nate White,Michael Pis,2
Nate White,Michael Stechel Buchholtz,1
Nate White,Mike Cohen,2
Nate White,Neil Anderson,2
Nate White,Philip Kafka,2
Nate White,Rafael Bardaji,2
Nate White,Taal Safdie,2
Nate White,Val Sherman,2
Lanna Belohlavek,Robert D. Critton Jr.,2
Lanna Belohlavek,Jessica Cadwell,2
Lanna Belohlavek,Jack Goldberger,5
Lanna Belohlavek,Alan Dershowitz,2
Lanna Belohlavek,Alan M. Dershowitz,3
Lanna Belohlavek,Kenneth Starr,4
Lanna Belohlavek,Michael Reiter,4
Lanna Belohlavek,Jay Lefkowitz,1
Lanna Belohlavek,Kathy Ruemmler,1
GMAX,Alan Dershowitz,1
GMAX,Alan M. Dershowitz,2
GMAX,Jay Lefkowitz,1
GMAX,Darren lndyke,1
GMAX,J,1
Jimmy Wales,John Brockman,1
Jimmy Wales,Bill Joy,1
Jimmy Wales,Charles Simonyi,1
Jimmy Wales,Danny Hillis,1
Jimmy Wales,Dean Kamen,1
Jimmy Wales,Elon Musk,1
Jimmy Wales,Eric Schmidt,1
Jimmy Wales,Evan Williams,1
Jimmy Wales,Hubert Burda,1
Jimmy Wales,Jean Pigozzi,1
Jimmy Wales,John Doerr,1
Jimmy Wales,Kary Mullis,1
Jimmy Wales,Larry Page,1
Jimmy Wales,Maja Hoffman,1
Jimmy Wales,Marissa Mayer,1
Jimmy Wales,Miuccia Prada,1
Jimmy Wales,Nathan Myhrvold,1
Jimmy Wales,Pierre Omidyar,1
Jimmy Wales,Ricardo Salinas Pilego,1
Jimmy Wales,Salar Kamangar,1
Jimmy Wales,Sean Parker,1
Jimmy Wales,Steve Case,1
Jimmy Wales,Vinod Khosla,1
Janet Kafka,Warren Eisenstein,1
Janet Kafka,Jeffery Edwards,1
Janet Kafka,Joel Dunn,2
Janet Kafka,Mark L. Epstein,1
Janet Kafka,Terry Kafka,4
Janet Kafka,Adj Kearsarge,2
Janet Kafka,Allen West,2
Janet Kafka,Bennet Greenwald,1
Janet Kafka,Bennett Schmidt,2
Janet Kafka,Forrest Miller,2
Janet Kafka,Gary Gross,2
Janet Kafka,Grant Seeger,2
Janet Kafka,House,1
Janet Kafka,John Zouzelka,2
Janet Kafka,Marcie Brown,2
Janet Kafka,Mark Epstein,2
Janet Kafka,Michael Horowitz,1
Janet Kafka,Michael Pis,2
Janet Kafka,Michael Stechel Buchholtz,1
Janet Kafka,Mike Cohen,2
Janet Kafka,Neil Anderson,2
Janet Kafka,Philip Kafka,4
Janet Kafka,Rafael Bardaji,2
Janet Kafka,Taal Safdie,2
Janet Kafka,Val Sherman,2
Janet Kafka,Brad Bowen,2
Rafael Bardaji,Joel Dunn,1
Rafael Bardaji,Terry Kafka,2
Rafael Bardaji,Adj Kearsarge,2
Rafael Bardaji,Allen West,2
Rafael Bardaji,Bennet Greenwald,1
Rafael Bardaji,Bennett Schmidt,2
Rafael Bardaji,Forrest Miller,2
Rafael Bardaji,Gary Gross,2
Rafael Bardaji,Grant Seeger,2
Rafael Bardaji,House,1
Rafael Bardaji,John Zouzelka,2
Rafael Bardaji,Marcie Brown,2
Rafael Bardaji,Mark Epstein,2
Rafael Bardaji,Michael Horowitz,1
Rafael Bardaji,Michael Pis,2
Rafael Bardaji,Michael Stechel Buchholtz,1
Rafael Bardaji,Mike Cohen,2
Rafael Bardaji,Neil Anderson,2
Rafael Bardaji,Philip Kafka,2
Rafael Bardaji,Taal Safdie,2
Rafael Bardaji,Val Sherman,2
Bill Joy,John Brockman,1
Bill Joy,Charles Simonyi,1
Bill Joy,Danny Hillis,1
Bill Joy,Dean Kamen,1
Bill Joy,Elon Musk,1
Bill Joy,Eric Schmidt,1
Bill Joy,Evan Williams,1
Bill Joy,Hubert Burda,1
Bill Joy,Jean Pigozzi,1
Bill Joy,John Doerr,1
Bill Joy,Kary Mullis,1
Bill Joy,Larry Page,1
Bill Joy,Maja Hoffman,1
Bill Joy,Marissa Mayer,1
Bill Joy,Miuccia Prada,1
Bill Joy,Nathan Myhrvold,1
Bill Joy,Pierre Omidyar,1
Bill Joy,Ricardo Salinas Pilego,1
Bill Joy,Salar Kamangar,1
Bill Joy,Sean Parker,1
Bill Joy,Steve Case,1
Bill Joy,Vinod Khosla,1
Leon,Lesley Groff,1
Leon,Kathy Ruemmler,1
Leon,Barry J. Cohen,1
Leon,Joe Avantario,1
Leon,John Castrucci,1
Leon,Larry Delson,1
Leon,Melanie Spinella,1
Leon,Richard Joslin,1
Leon,Thomas Turrin,1
Leon,Tom,1
Leon,Steve Bannon,1
Kenneth Starr,Robert D. Critton Jr.,2
Kenneth Starr,Jessica Cadwell,2
Kenneth Starr,Jack Goldberger,7
Kenneth Starr,Alan Dershowitz,2
Kenneth Starr,Alan M. Dershowitz,3
Kenneth Starr,Michael Reiter,4
Kenneth Starr,Brad Edwards,3
Kenneth Starr,J,2
Kenneth Starr,Jack Scarola,3
Kenneth Starr,Paul Cassell,3
Marcie Brown,Joel Dunn,1
Marcie Brown,Terry Kafka,2
Marcie Brown,Adj Kearsarge,2
Marcie Brown,Allen West,2
Marcie Brown,Bennet Greenwald,1
Marcie Brown,Bennett Schmidt,2
Marcie Brown,Forrest Miller,2
Marcie Brown,Gary Gross,2
Marcie Brown,Grant Seeger,2
Marcie Brown,House,1
Marcie Brown,John Zouzelka,2
Marcie Brown,Mark Epstein,2
Marcie Brown,Michael Horowitz,1
Marcie Brown,Michael Pis,2
Marcie Brown,Michael Stechel Buchholtz,1
Marcie Brown,Mike Cohen,2
Marcie Brown,Neil Anderson,2
Marcie Brown,Philip Kafka,2
Marcie Brown,Taal Safdie,2
Marcie Brown,Val Sherman,2
Miuccia Prada,John Brockman,1
Miuccia Prada,Charles Simonyi,1
Miuccia Prada,Danny Hillis,1
Miuccia Prada,Dean Kamen,1
Miuccia Prada,Elon Musk,1
Miuccia Prada,Eric Schmidt,1
Miuccia Prada,Evan Williams,1
Miuccia Prada,Hubert Burda,1
Miuccia Prada,Jean Pigozzi,1
Miuccia Prada,John Doerr,1
Miuccia Prada,Kary Mullis,1
Miuccia Prada,Larry Page,1
Miuccia Prada,Maja Hoffman,1
Miuccia Prada,Marissa Mayer,1
Miuccia Prada,Nathan Myhrvold,1
Miuccia Prada,Pierre Omidyar,1
Miuccia Prada,Ricardo Salinas Pilego,1
Miuccia Prada,Salar Kamangar,1
Miuccia Prada,Sean Parker,1
Miuccia Prada,Steve Case,1
Miuccia Prada,Vinod Khosla,1
Nathan Myhrvold,John Brockman,1
Nathan Myhrvold,Charles Simonyi,1
Nathan Myhrvold,Danny Hillis,1
Nathan Myhrvold,Dean Kamen,1
Nathan Myhrvold,Elon Musk,1
Nathan Myhrvold,Eric Schmidt,1
Nathan Myhrvold,Evan Williams,1
Nathan Myhrvold,Hubert Burda,1
Nathan Myhrvold,Jean Pigozzi,1
Nathan Myhrvold,John Doerr,1
Nathan Myhrvold,Kary Mullis,1
Nathan Myhrvold,Larry Page,1
Nathan Myhrvold,Maja Hoffman,1
Nathan Myhrvold,Marissa Mayer,1
Nathan Myhrvold,Pierre Omidyar,1
Nathan Myhrvold,Ricardo Salinas Pilego,1
Nathan Myhrvold,Salar Kamangar,1
Nathan Myhrvold,Sean Parker,1
Nathan Myhrvold,Steve Case,1
Nathan Myhrvold,Vinod Khosla,1
Philip Kafka,Joel Dunn,1
Philip Kafka,Terry Kafka,4
Philip Kafka,Brad Bowen,2
Philip Kafka,Adj Kearsarge,2
Philip Kafka,Allen West,2
Philip Kafka,Bennet Greenwald,1
Philip Kafka,Bennett Schmidt,2
Philip Kafka,Forrest Miller,2
Philip Kafka,Gary Gross,2
Philip Kafka,Grant Seeger,2
Philip Kafka,House,1
Philip Kafka,John Zouzelka,2
Philip Kafka,Mark Epstein,2
Philip Kafka,Michael Horowitz,1
Philip Kafka,Michael Pis,2
Philip Kafka,Michael Stechel Buchholtz,1
Philip Kafka,Mike Cohen,2
Philip Kafka,Neil Anderson,2
Philip Kafka,Taal Safdie,2
Philip Kafka,Val Sherman,2
Steven Hoffenberg,Darren lndyke,1
Kathy Ruemmler,Jack Goldberger,1
Kathy Ruemmler,Alan Dershowitz,8
Kathy Ruemmler,Jay Lefkowitz,1
Kathy Ruemmler,Darren lndyke,5
Kathy Ruemmler,John Connolly,1
Kathy Ruemmler,Larry Visoski,1
Kathy Ruemmler,Jack Scarola,2
Kathy Ruemmler,Paul Cassell,2
Kathy Ruemmler,Virginia Roberts,3
Kathy Ruemmler,Stephen J. Immelt,3
Kathy Ruemmler,David Boies,1
Kathy Ruemmler,Steve Bannon,10
Kathy Ruemmler,J,6
Kathy Ruemmler,Ken Starr,4
Kevin Bright,Tom,1
Kevin Bright,Paul Krassner,2
Kevin Bright,paul krassner,1
Kevin Bright,Daniel Dawson,2
Kevin Bright,George Krassner,2
Kevin Bright,Lee Quarnstrom,2
Kevin Bright,Linda W. Grossman,1
Kevin Bright,Michael Simmons,2
Jay Lefkowitz,Jack Goldberger,2
Jay Lefkowitz,Alan Dershowitz,1
Jay Lefkowitz,Brad Edwards,1
Rich Kahn,Lesley Groff,2
Rich Kahn,Darren lndyke,2
Rich Kahn,Larry Visoski,3
Terry Kafka,Warren Eisenstein,1
Terry Kafka,Jeffery Edwards,1
Terry Kafka,Joel Dunn,2
Terry Kafka,Mark L. Epstein,2
Terry Kafka,Brad Bowen,2
Terry Kafka,Adj Kearsarge,2
Terry Kafka,Allen West,2
Terry Kafka,Bennet Greenwald,1
Terry Kafka,Bennett Schmidt,2
Terry Kafka,Forrest Miller,2
Terry Kafka,Gary Gross,2
Terry Kafka,Grant Seeger,2
Terry Kafka,House,1
Terry Kafka,John Zouzelka,2
Terry Kafka,Mark Epstein,2
Terry Kafka,Michael Horowitz,1
Terry Kafka,Michael Pis,2
Terry Kafka,Michael Stechel Buchholtz,1
Terry Kafka,Mike Cohen,2
Terry Kafka,Neil Anderson,2
Terry Kafka,Taal Safdie,2
Terry Kafka,Val Sherman,2
Peter Aldhous,Lawrence Krauss,11
Peter Aldhous,Azeen Ghorayshi,6
Peter Aldhous,Erin Ellison,6
Peter Aldhous,Kiaran Kirk,6
Michael Simmons,Tom,1
Michael Simmons,Paul Krassner,1
Michael Simmons,paul krassner,1
Michael Simmons,Daniel Dawson,2
Michael Simmons,George Krassner,2
Michael Simmons,Lee Quarnstrom,2
Michael Simmons,Linda W. Grossman,1
Lesley Groff,Darren lndyke,1
Lesley Groff,Stephanie,2
Lesley Groff,Barry J. Cohen,2
Lesley Groff,Joe Avantario,2
Lesley Groff,John Castrucci,2
Lesley Groff,Larry Delson,2
Lesley Groff,Melanie Spinella,2
Lesley Groff,Richard Joslin,2
Lesley Groff,Thomas Turrin,2
Lesley Groff,Tom,1
Lesley Groff,Ken Starr,1
Lesley Groff,Larry Visoski,1
Bennet Greenwald,Joel Dunn,1
Bennet Greenwald,Adj Kearsarge,1
Bennet Greenwald,Allen West,1
Bennet Greenwald,Bennett Schmidt,1
Bennet Greenwald,Forrest Miller,1
Bennet Greenwald,Gary Gross,1
Bennet Greenwald,Grant Seeger,1
Bennet Greenwald,House,1
Bennet Greenwald,John Zouzelka,1
Bennet Greenwald,Mark Epstein,1
Bennet Greenwald,Michael Horowitz,1
Bennet Greenwald,Michael Pis,1
Bennet Greenwald,Michael Stechel Buchholtz,1
Bennet Greenwald,Mike Cohen,1
Bennet Greenwald,Neil Anderson,1
Bennet Greenwald,Taal Safdie,1
Bennet Greenwald,Val Sherman,1
Lee Quarnstrom,Tom,1
Lee Quarnstrom,Paul Krassner,1
Lee Quarnstrom,paul krassner,1
Lee Quarnstrom,Daniel Dawson,2
Lee Quarnstrom,George Krassner,2
Lee Quarnstrom,Linda W. Grossman,1
Elizabeth Lee Sample,Fitz Corr,2
Linda W. Grossman,Tom,1
Linda W. Grossman,Paul Krassner,1
Linda W. Grossman,paul krassner,2
Linda W. Grossman,Daniel Dawson,1
Linda W. Grossman,George Krassner,3
Taal Safdie,Joel Dunn,1
Taal Safdie,Adj Kearsarge,2
Taal Safdie,Allen West,2
Taal Safdie,Bennett Schmidt,2
Taal Safdie,Forrest Miller,2
Taal Safdie,Gary Gross,2
Taal Safdie,Grant Seeger,2
Taal Safdie,House,1
Taal Safdie,John Zouzelka,2
Taal Safdie,Mark Epstein,2
Taal Safdie,Michael Horowitz,1
Taal Safdie,Michael Pis,2
Taal Safdie,Michael Stechel Buchholtz,1
Taal Safdie,Mike Cohen,2
Taal Safdie,Neil Anderson,2
Taal Safdie,Val Sherman,2
Adj Kearsarge,Joel Dunn,1
Adj Kearsarge,Allen West,2
Adj Kearsarge,Bennett Schmidt,2
Adj Kearsarge,Forrest Miller,2
Adj Kearsarge,Gary Gross,2
Adj Kearsarge,Grant Seeger,2
Adj Kearsarge,House,1
Adj Kearsarge,John Zouzelka,2
Adj Kearsarge,Mark Epstein,2
Adj Kearsarge,Michael Horowitz,1
Adj Kearsarge,Michael Pis,2
Adj Kearsarge,Michael Stechel Buchholtz,1
Adj Kearsarge,Mike Cohen,2
Adj Kearsarge,Neil Anderson,2
Adj Kearsarge,Val Sherman,2
Virginia Roberts,Alan Dershowitz,2
Virginia Roberts,Darren lndyke,1
Virginia Roberts,Larry Visoski,1
Virginia Roberts,Jack Scarola,2
Virginia Roberts,Paul Cassell,2
Robert Trivers,Alan Dershowitz,1
Robert Trivers,Gordon Getty,2
Brad Bowen,Mark L. Epstein,1
paul krassner,John Brockman,1
paul krassner,Tom,1
paul krassner,Daniel Dawson,1
paul krassner,George Krassner,2
Melanie Spinella,Barry J. Cohen,6
Melanie Spinella,Joe Avantario,2
Melanie Spinella,John Castrucci,2
Melanie Spinella,Larry Delson,2
Melanie Spinella,Richard Joslin,2
Melanie Spinella,Thomas Turrin,2
Melanie Spinella,Tom,1
Barry J. Cohen,Joe Avantario,2
Barry J. Cohen,John Castrucci,2
Barry J. Cohen,Larry Delson,2
Barry J. Cohen,Richard Joslin,2
Barry J. Cohen,Thomas Turrin,2
Barry J. Cohen,Tom,1
John Brockman,Charles Simonyi,1
John Brockman,Danny Hillis,1
John Brockman,Dean Kamen,1
John Brockman,Elon Musk,1
John Brockman,Eric Schmidt,1
John Brockman,Evan Williams,1
John Brockman,Hubert Burda,1
John Brockman,Jean Pigozzi,1
John Brockman,John Doerr,1
John Brockman,Kary Mullis,1
John Brockman,Larry Page,1
John Brockman,Maja Hoffman,1
John Brockman,Marissa Mayer,1
John Brockman,Pierre Omidyar,1
John Brockman,Ricardo Salinas Pilego,1
John Brockman,Salar Kamangar,1
John Brockman,Sean Parker,1
John Brockman,Steve Case,1
John Brockman,Vinod Khosla,1
Allen West,Joel Dunn,1
Allen West,Bennett Schmidt,2
Allen West,Forrest Miller,2
Allen West,Gary Gross,2
Allen West,Grant Seeger,2
Allen West,House,1
Allen West,John Zouzelka,2
Allen West,Mark Epstein,2
Allen West,Michael Horowitz,1
Allen West,Michael Pis,2
Allen West,Michael Stechel Buchholtz,1
Allen West,Mike Cohen,2
Allen West,Neil Anderson,2
Allen West,Val Sherman,2
Lawrence Krauss,Ken Starr,1
Lawrence Krauss,Azeen Ghorayshi,6
Lawrence Krauss,Erin Ellison,6
Lawrence Krauss,Kiaran Kirk,6
Bennett Schmidt,Joel Dunn,1
Bennett Schmidt,Forrest Miller,2
Bennett Schmidt,Gary Gross,2
Bennett Schmidt,Grant Seeger,2
Bennett Schmidt,House,1
Bennett Schmidt,John Zouzelka,2
Bennett Schmidt,Mark Epstein,2
Bennett Schmidt,Michael Horowitz,1
Bennett Schmidt,Michael Pis,2
Bennett Schmidt,Michael Stechel Buchholtz,1
Bennett Schmidt,Mike Cohen,2
Bennett Schmidt,Neil Anderson,2
Bennett Schmidt,Val Sherman,2
Alan M. Dershowitz,Robert D. Critton Jr.,3
Alan M. Dershowitz,Jessica Cadwell,2
Alan M. Dershowitz,Jack Goldberger,6
Alan M. Dershowitz,Alan Dershowitz,1
Alan M. Dershowitz,Michael Reiter,6
Alan M. Dershowitz,Darren lndyke,1
Alan M. Dershowitz,J,1
Dean Kamen,Charles Simonyi,1
Dean Kamen,Danny Hillis,1
Dean Kamen,Elon Musk,1
Dean Kamen,Eric Schmidt,1
Dean Kamen,Evan Williams,1
Dean Kamen,Hubert Burda,1
Dean Kamen,Jean Pigozzi,1
Dean Kamen,John Doerr,1
Dean Kamen,Kary Mullis,1
Dean Kamen,Larry Page,1
Dean Kamen,Maja Hoffman,1
Dean Kamen,Marissa Mayer,1
Dean Kamen,Pierre Omidyar,1
Dean Kamen,Ricardo Salinas Pilego,1
Dean Kamen,Salar Kamangar,1
Dean Kamen,Sean Parker,1
Dean Kamen,Steve Case,1
Dean Kamen,Vinod Khosla,1
Larry Page,Charles Simonyi,1
Larry Page,Danny Hillis,1
Larry Page,Elon Musk,1
Larry Page,Eric Schmidt,1
Larry Page,Evan Williams,1
Larry Page,Hubert Burda,1
Larry Page,Jean Pigozzi,1
Larry Page,John Doerr,1
Larry Page,Kary Mullis,1
Larry Page,Maja Hoffman,1
Larry Page,Marissa Mayer,1
Larry Page,Pierre Omidyar,1
Larry Page,Ricardo Salinas Pilego,1
Larry Page,Salar Kamangar,1
Larry Page,Sean Parker,1
Larry Page,Steve Case,1
Larry Page,Vinod Khosla,1
Larry Visoski,Alan Dershowitz,1
Larry Visoski,Jack Scarola,1
Larry Visoski,Paul Cassell,1
Larry Visoski,J,1
Ricardo Salinas Pilego,Charles Simonyi,1
Ricardo Salinas Pilego,Danny Hillis,1
Ricardo Salinas Pilego,Elon Musk,1
Ricardo Salinas Pilego,Eric Schmidt,1
Ricardo Salinas Pilego,Evan Williams,1
Ricardo Salinas Pilego,Hubert Burda,1
Ricardo Salinas Pilego,Jean Pigozzi,1
Ricardo Salinas Pilego,John Doerr,1
Ricardo Salinas Pilego,Kary Mullis,1
Ricardo Salinas Pilego,Maja Hoffman,1
Ricardo Salinas Pilego,Marissa Mayer,1
Ricardo Salinas Pilego,Pierre Omidyar,1
Ricardo Salinas Pilego,Salar Kamangar,1
Ricardo Salinas Pilego,Sean Parker,1
Ricardo Salinas Pilego,Steve Case,1
Ricardo Salinas Pilego,Vinod Khosla,1
Marissa Mayer,Charles Simonyi,1
Marissa Mayer,Danny Hillis,1
Marissa Mayer,Elon Musk,1
Marissa Mayer,Eric Schmidt,1
Marissa Mayer,Evan Williams,1
Marissa Mayer,Hubert Burda,1
Marissa Mayer,Jean Pigozzi,1
Marissa Mayer,John Doerr,1
Marissa Mayer,Kary Mullis,1
Marissa Mayer,Maja Hoffman,1
Marissa Mayer,Pierre Omidyar,1
Marissa Mayer,Salar Kamangar,1
Marissa Mayer,Sean Parker,1
Marissa Mayer,Steve Case,1
Marissa Mayer,Vinod Khosla,1
Grant Seeger,Joel Dunn,1
Grant Seeger,Forrest Miller,2
Grant Seeger,Gary Gross,2
Grant Seeger,House,1
Grant Seeger,John Zouzelka,2
Grant Seeger,Mark Epstein,2
Grant Seeger,Michael Horowitz,1
Grant Seeger,Michael Pis,2
Grant Seeger,Michael Stechel Buchholtz,1
Grant Seeger,Mike Cohen,2
Grant Seeger,Neil Anderson,2
Grant Seeger,Val Sherman,2
John Castrucci,Joe Avantario,2
John Castrucci,Larry Delson,2
John Castrucci,Richard Joslin,3
John Castrucci,Thomas Turrin,2
John Castrucci,Tom,1
Sean Parker,Charles Simonyi,1
Sean Parker,Danny Hillis,1
Sean Parker,Elon Musk,1
Sean Parker,Eric Schmidt,1
Sean Parker,Evan Williams,1
Sean Parker,Hubert Burda,1
Sean Parker,Jean Pigozzi,1
Sean Parker,John Doerr,1
Sean Parker,Kary Mullis,1
Sean Parker,Maja Hoffman,1
Sean Parker,Pierre Omidyar,1
Sean Parker,Salar Kamangar,1
Sean Parker,Steve Case,1
Sean Parker,Vinod Khosla,1
John Zouzelka,Joel Dunn,1
John Zouzelka,Forrest Miller,2
John Zouzelka,Gary Gross,2
John Zouzelka,House,1
John Zouzelka,Mark Epstein,2
John Zouzelka,Michael Horowitz,1
John Zouzelka,Michael Pis,2
John Zouzelka,Michael Stechel Buchholtz,1
John Zouzelka,Mike Cohen,2
John Zouzelka,Neil Anderson,2
John Zouzelka,Val Sherman,2
Michael Reiter,Robert D. Critton Jr.,4
Michael Reiter,Jessica Cadwell,3
Michael Reiter,Jack Goldberger,4
Michael Reiter,Alan Dershowitz,2
Robert D. Critton Jr.,Jessica Cadwell,11
Robert D. Critton Jr.,Jack Goldberger,5
Robert D. Critton Jr.,Alan Dershowitz,1
Tonja Haddad Coleman,Jack Goldberger,2
Joel Dunn,Warren Eisenstein,1
Joel Dunn,Jeffery Edwards,1
Joel Dunn,Mark L. Epstein,1
Joel Dunn,Forrest Miller,1
Joel Dunn,Gary Gross,1
Joel Dunn,House,1
Joel Dunn,Mark Epstein,1
Joel Dunn,Michael Horowitz,1
Joel Dunn,Michael Pis,1
Joel Dunn,Michael Stechel Buchholtz,1
Joel Dunn,Mike Cohen,1
Joel Dunn,Neil Anderson,1
Joel Dunn,Val Sherman,1
Danny Hillis,Charles Simonyi,1
Danny Hillis,Elon Musk,1
Danny Hillis,Eric Schmidt,1
Danny Hillis,Evan Williams,1
Danny Hillis,Hubert Burda,1
Danny Hillis,Jean Pigozzi,1
Danny Hillis,John Doerr,1
Danny Hillis,Kary Mullis,1
Danny Hillis,Maja Hoffman,1
Danny Hillis,Pierre Omidyar,1
Danny Hillis,Salar Kamangar,1
Danny Hillis,Steve Case,1
Danny Hillis,Vinod Khosla,1
Pierre Omidyar,Charles Simonyi,1
Pierre Omidyar,Elon Musk,1
Pierre Omidyar,Eric Schmidt,1
Pierre Omidyar,Evan Williams,1
Pierre Omidyar,Hubert Burda,1
Pierre Omidyar,Jean Pigozzi,1
